id,prodName,prodCatid,prodCat,prodPcatid,prodPcat,lowPrice,highPrice,avgPrice,place,specInfo,unitInfo,pubDate,status,userIdCreate,userIdModified,userCreate,userModified,gmtCreate,gmtModified
1218836,甘蔗,1187,水果,1211,其他类,1.3,1.5,1.4,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218835,柠檬,1187,水果,1211,其他类,4.0,5.0,4.5,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218834,石榴,1187,水果,1211,其他类,3.0,7.0,5.0,四川,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218833,山楂,1187,水果,1211,其他类,3.0,4.0,3.5,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218832,姑娘果（灯笼果）,1187,水果,1211,其他类,10.0,20.0,15.0,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218831,鸭梨,1187,水果,,梨类,1.1,1.5,1.3,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218830,雪花梨,1187,水果,,梨类,1.2,1.6,1.4,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218829,皇冠梨,1187,水果,,梨类,2.2,2.8,2.5,,纸箱,斤,2021-12-14 00:00:00,,138,,admin,,,
1218828,南果梨,1187,水果,,梨类,1.2,3.5,2.35,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218827,丰水梨,1187,水果,,梨类,3.4,3.8,3.6,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218826,广梨,1187,水果,,梨类,1.8,3.2,2.5,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218825,酥梨,1187,水果,,梨类,1.6,2.0,1.8,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218824,库尔勒香梨,1187,水果,,梨类,3.5,4.3,3.9,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218823,红啤梨,1187,水果,,梨类,3.5,4.5,4.0,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218822,蜜梨,1187,水果,,梨类,2.0,2.5,2.25,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218821,京白梨,1187,水果,,梨类,1.6,2.0,1.8,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218820,贵妃梨,1187,水果,,梨类,1.2,1.5,1.35,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218819,蜜桔,1187,水果,,柑橘类,1.4,2.2,1.8,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218818,小叶桔,1187,水果,,柑橘类,1.4,2.5,1.95,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218817,南丰蜜桔,1187,水果,,柑橘类,2.0,3.0,2.5,,,斤,2021-12-14 00:00:00,,138,,admin,,,
1218636,清江鱼,1190,水产,1209,淡水鱼,10.3,11.0,10.65,,活,斤,2021-12-14 00:00:00,,138,,admin,,,
1218635,八爪鱼,1190,水产,1210,海水鱼,35.0,40.0,37.5,,活,斤,2021-12-14 00:00:00,,138,,admin,,,
1218634,八爪鱼,1190,水产,1210,海水鱼,15.0,16.0,15.5,,鲜,斤,2021-12-14 00:00:00,,138,,admin,,,
1218633,多宝鱼,1190,水产,1210,海水鱼,40.0,42.0,41.0,,活,斤,2021-12-14 00:00:00,,138,,admin,,,
1218632,国产带鱼,1190,水产,1210,海水鱼,12.5,13.5,13.0,,200g-300g/冻,斤,2021-12-14 00:00:00,,138,,admin,,,
1218631,国产带鱼,1190,水产,1210,海水鱼,15.5,16.5,16.0,,300g-500g/冻,斤,2021-12-14 00:00:00,,138,,admin,,,
1218630,国产带鱼,1190,水产,1210,海水鱼,16.5,17.5,17.0,,600g-700g/冻,斤,2021-12-14 00:00:00,,138,,admin,,,
1218629,鲜带鱼,1190,水产,1210,海水鱼,16.0,18.0,17.0,,200g左右,斤,2021-12-14 00:00:00,,138,,admin,,,
1218628,鲜带鱼,1190,水产,1210,海水鱼,22.0,23.0,22.5,,300g左右,斤,2021-12-14 00:00:00,,138,,admin,,,
1218627,鲜带鱼,1190,水产,1210,海水鱼,30.0,32.0,31.0,,500g左右,斤,2021-12-14 00:00:00,,138,,admin,,,
1218626,小黄花鱼,1190,水产,1210,海水鱼,10.0,12.0,11.0,,冻,斤,2021-12-14 00:00:00,,138,,admin,,,
1218625,国产黄花鱼,1190,水产,1210,海水鱼,12.0,13.0,12.5,,250g左右/鲜,斤,2021-12-14 00:00:00,,138,,admin,,,
1218624,国产黄花鱼,1190,水产,1210,海水鱼,14.0,15.0,14.5,,500g左右/鲜,斤,2021-12-14 00:00:00,,138,,admin,,,
1218623,国产黄花鱼,1190,水产,1210,海水鱼,20.0,21.0,20.5,,750g左右/鲜,斤,2021-12-14 00:00:00,,138,,admin,,,
1218622,国产平鱼,1190,水产,1210,海水鱼,10.0,12.0,11.0,,80g-100g/鲜,斤,2021-12-14 00:00:00,,138,,admin,,,
1218621,国产平鱼,1190,水产,1210,海水鱼,13.0,15.0,14.0,,120g-130g/鲜,斤,2021-12-14 00:00:00,,138,,admin,,,
1218620,国产平鱼,1190,水产,1210,海水鱼,20.0,22.0,21.0,,150g-200g/鲜,斤,2021-12-14 00:00:00,,138,,admin,,,
1218619,国产平鱼,1190,水产,1210,海水鱼,30.0,32.0,31.0,,250g-300g/鲜,斤,2021-12-14 00:00:00,,138,,admin,,,
1218618,鱿鱼,1190,水产,1210,海水鱼,13.0,14.0,13.5,,带头,斤,2021-12-14 00:00:00,,138,,admin,,,
